Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Microsite olay,Chrome 95.0.4638.69,,,2021-12-20 13:03:56,2021-12-20 13:14:26,10m - 30.703s,FAILED
,,,,,,,
Test Cases/microsite staging/Login/Tc-1(Login),Chrome 95.0.4638.69,Login with emailid and password,,2021-12-20 13:03:56,2021-12-20 13:04:12,15.884s,PASSED
"callTestCase(findTestCase(""microsite staging/Open browser/Tc2-Login""), [:], STOP_ON_FAILURE)",Chrome 95.0.4638.69,,,2021-12-20 13:03:56,2021-12-20 13:04:09,13.314s,PASSED
"sendKeys(findTestObject(""Object Repository/micro staging/Page_Olay Holiday Program/input_WELCOME_mat-input-2""), Emailid)",Chrome 95.0.4638.69,,,2021-12-20 13:04:09,2021-12-20 13:04:10,0.611s,PASSED
"sendKeys(findTestObject(""Object Repository/micro staging/Page_Olay Holiday Program/input__mat-input-3""), Pswd)",Chrome 95.0.4638.69,,,2021-12-20 13:04:10,2021-12-20 13:04:10,0.288s,PASSED
"click(findTestObject(""Object Repository/micro staging/Page_Olay Holiday Program/button_SUBMIT (7)""))",Chrome 95.0.4638.69,,,2021-12-20 13:04:10,2021-12-20 13:04:11,0.278s,PASSED
takeScreenshot(),Chrome 95.0.4638.69,,,2021-12-20 13:04:11,2021-12-20 13:04:12,1.232s,PASSED
,,,,,,,
Test Cases/microsite staging/Login/Tc-2(Login),Chrome 95.0.4638.69,Verify with blank fields,,2021-12-20 13:04:12,2021-12-20 13:04:27,15.285s,PASSED
"callTestCase(findTestCase(""microsite staging/Open browser/Tc2-Login""), [:], STOP_ON_FAILURE)",Chrome 95.0.4638.69,,,2021-12-20 13:04:12,2021-12-20 13:04:26,13.563s,PASSED
"click(findTestObject(""Object Repository/micro staging/Page_Olay Holiday Program/button_SUBMIT (10)""))",Chrome 95.0.4638.69,,,2021-12-20 13:04:26,2021-12-20 13:04:26,0.592s,PASSED
"verifyTextPresent(""Email is required"", true)",Chrome 95.0.4638.69,,,2021-12-20 13:04:26,2021-12-20 13:04:27,0.471s,PASSED
"verifyTextPresent(""Password is required"", true)",Chrome 95.0.4638.69,,,2021-12-20 13:04:27,2021-12-20 13:04:27,0.242s,PASSED
takeScreenshot(),Chrome 95.0.4638.69,,,2021-12-20 13:04:27,2021-12-20 13:04:27,0.289s,PASSED
,,,,,,,
Test Cases/microsite staging/Login/Tc-3(Login),Chrome 95.0.4638.69,Verify with Invalid inputs,,2021-12-20 13:04:27,2021-12-20 13:04:41,13.381s,PASSED
"callTestCase(findTestCase(""microsite staging/Open browser/Tc2-Login""), [:], STOP_ON_FAILURE)",Chrome 95.0.4638.69,,,2021-12-20 13:04:27,2021-12-20 13:04:38,11.036s,PASSED
"setText(findTestObject(""Object Repository/micro staging/Page_Olay Holiday Program/input_WELCOME_mat-input-2""), ""asdfghjgfdsdj2334@hjfdksdjfdks)(*()"")",Chrome 95.0.4638.69,,,2021-12-20 13:04:38,2021-12-20 13:04:39,0.851s,PASSED
"setEncryptedText(findTestObject(""Object Repository/micro staging/Page_Olay Holiday Program/input_Please enter a valid email address_ma_e31672""), ""kwgy5fRXfBGnwwxnyAqiaw=="")",Chrome 95.0.4638.69,,,2021-12-20 13:04:39,2021-12-20 13:04:39,0.330s,PASSED
"click(findTestObject(""Object Repository/micro staging/Page_Olay Holiday Program/button_SUBMIT (11)""))",Chrome 95.0.4638.69,,,2021-12-20 13:04:39,2021-12-20 13:04:40,0.489s,PASSED
"verifyTextPresent(""Please enter a valid email address"", true)",Chrome 95.0.4638.69,,,2021-12-20 13:04:40,2021-12-20 13:04:40,0.255s,PASSED
takeScreenshot(),Chrome 95.0.4638.69,,,2021-12-20 13:04:40,2021-12-20 13:04:41,0.314s,PASSED
,,,,,,,
Test Cases/microsite staging/Login/Tc-4(Login),Chrome 95.0.4638.69,Verify with invalid password,,2021-12-20 13:04:41,2021-12-20 13:05:27,46.950s,PASSED
"callTestCase(findTestCase(""microsite staging/Open browser/Tc2-Login""), [:], STOP_ON_FAILURE)",Chrome 95.0.4638.69,,,2021-12-20 13:04:41,2021-12-20 13:04:54,13.058s,PASSED
"click(findTestObject(""Object Repository/micro staging/Page_Olay Holiday Program/div_Email""))",Chrome 95.0.4638.69,,,2021-12-20 13:04:54,2021-12-20 13:05:25,31.494s,PASSED
